PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Status,Payment Terms,Department,Location,Approval Status,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-18361,Component World,2026-01-22,2026-02-12,2026-02-12,82x Mouse,82,188.99,15497.18,AUD,Approved,Net 90,Finance,Los Angeles,Approved,Urgent delivery required,1549.72,17046.90,Robert Wilson,Jessica White
PO-2026-55041,Premium Materials Co,2026-01-22,2026-02-18,2026-02-18,91x SSD Storage; 58x Router; 4x Ink Cartridge; 62x Power Supply,215,132.42,43401.92,CAD,Received,Net 60,Logistics,Sydney,Rejected,Standard delivery,4340.19,47742.11,Robert Wilson,David Lee
PO-2026-43460,Premium Materials Co,2026-01-22,2026-02-12,2026-02-12,3x Power Supply; 11x Keyboard,14,278.95,7544.98,USD,Partial,Net 30,IT,Los Angeles,Pending,Urgent delivery required,754.50,8299.48,Emily Chen,Alice Brown
PO-2026-75846,Digital Systems,2026-01-22,2026-02-17,2026-02-17,67x Filing Cabinet; 83x Server RAM,150,263.40,51027.91,AUD,Cancelled,Net 90,Logistics,London,Pending,Special packaging needed,5102.79,56130.70,John Smith,Lisa Anderson
PO-2026-49534,Premium Materials Co,2026-01-22,2026-01-31,2026-01-31,32x Router; 83x Monitor,115,109.22,15251.16,USD,Approved,2/10 Net 30,Finance,New York,Pending,,1525.12,16776.28,Emily Chen,Tom Martinez
PO-2026-14712,Premium Materials Co,2026-01-22,2026-02-07,2026-02-07,8x Network Switch; 15x SSD Storage,23,194.97,16076.46,GBP,Approved,Due on Receipt,Logistics,Sydney,Rejected,,1607.65,17684.11,Emily Chen,Alice Brown
PO-2026-71316,Enterprise Solutions,2026-01-22,2026-02-08,2026-02-08,55x Mouse; 17x Network Switch; 67x Monitor; 100x Network Switch,239,715.88,128608.93,AUD,Received,Net 90,Operations,Toronto,Pending,Standard delivery,12860.89,141469.82,Mike Davis,Jessica White
PO-2026-32404,Digital Systems,2026-01-22,2026-02-18,2026-02-18,17x Network Switch,17,336.93,5727.81,EUR,Pending,2/10 Net 30,Logistics,New York,Pending,Standard delivery,572.78,6300.59,John Smith,Lisa Anderson
PO-2026-84207,Digital Systems,2026-01-22,2026-02-16,2026-02-16,24x Desk Chair,24,164.92,3958.08,EUR,Pending,Net 30,Logistics,Toronto,Pending,Quality inspection required,395.81,4353.89,Mike Davis,Jessica White
PO-2026-66273,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,4x Power Supply; 50x SSD Storage; 22x Power Supply; 7x Filing Cabinet,83,411.01,31767.00,GBP,Cancelled,Net 30,Logistics,London,Pending,Special packaging needed,3176.70,34943.70,Mike Davis,David Lee
PO-2026-61248,Tech Solutions Ltd,2026-01-22,2026-01-27,2026-01-27,100x Power Supply; 43x Server RAM; 28x Server RAM; 46x Server RAM,217,148.92,74028.17,AUD,Draft,2/10 Net 30,Operations,London,Approved,Special packaging needed,7402.82,81430.99,Sarah Johnson,Tom Martinez
PO-2026-95701,Digital Systems,2026-01-22,2026-02-09,2026-02-09,32x Office Desk; 65x SSD Storage; 67x USB Cable; 48x Printer Paper; 68x SSD Storage,280,352.71,122653.04,AUD,Partial,Net 30,Logistics,London,Approved,Urgent delivery required,12265.30,134918.34,Sarah Johnson,Alice Brown
PO-2026-25605,Enterprise Solutions,2026-01-22,2026-02-08,2026-02-08,21x SSD Storage; 41x Ink Cartridge; 13x SSD Storage; 34x Router; 43x Server RAM,152,295.19,72501.83,CAD,Cancelled,Net 90,Logistics,Sydney,Approved,Standard delivery,7250.18,79752.01,Mike Davis,Jessica White
PO-2026-85352,Quality Distributors,2026-01-22,2026-01-31,2026-01-31,56x Keyboard; 72x Monitor; 56x USB Cable,184,298.65,98763.76,GBP,Approved,2/10 Net 30,Operations,Chicago,Rejected,Urgent delivery required,9876.38,108640.14,Robert Wilson,Tom Martinez
PO-2026-24029,Industrial Parts Group,2026-01-22,2026-02-01,2026-02-01,53x Monitor; 87x Laptop; 47x Office Desk; 79x Router; 80x Mouse,346,821.28,244714.75,CAD,Cancelled,Net 60,Operations,Chicago,Rejected,,24471.48,269186.23,Mike Davis,Lisa Anderson
PO-2026-52742,Industrial Parts Group,2026-01-22,2026-02-21,2026-02-21,18x Desk Chair; 29x Mouse; 5x Power Supply,52,672.17,25174.79,EUR,Approved,Net 30,Logistics,Sydney,Approved,Standard delivery,2517.48,27692.27,Mike Davis,David Lee
PO-2026-67008,Tech Solutions Ltd,2026-01-22,2026-02-21,2026-02-21,71x Printer Paper; 53x Laptop; 54x Monitor; 91x Mouse,269,761.62,124424.47,USD,Received,Net 90,Operations,Los Angeles,Rejected,,12442.45,136866.92,Sarah Johnson,David Lee
PO-2026-91110,Industrial Parts Group,2026-01-22,2026-02-20,2026-02-20,98x Office Desk; 73x Server RAM; 9x Printer Paper; 3x Ink Cartridge,183,336.32,58764.44,GBP,Partial,Net 30,Operations,Los Angeles,Pending,Special packaging needed,5876.44,64640.88,John Smith,Tom Martinez
PO-2026-69296,Office Plus,2026-01-22,2026-02-14,2026-02-14,44x SSD Storage; 75x Monitor; 94x Monitor,213,475.82,121719.81,USD,Draft,2/10 Net 30,Logistics,Chicago,Pending,,12171.98,133891.79,Robert Wilson,Lisa Anderson
PO-2026-94925,Acme Corp,2026-01-22,2026-02-14,2026-02-14,10x SSD Storage; 91x Network Switch; 35x Network Switch; 92x SSD Storage; 4x Monitor,232,309.02,103249.42,CAD,Cancelled,2/10 Net 30,IT,Sydney,Pending,Urgent delivery required,10324.94,113574.36,John Smith,Lisa Anderson
PO-2026-58784,Premium Materials Co,2026-01-22,2026-02-05,2026-02-05,42x Printer Paper; 80x Laptop; 69x Router; 87x Server RAM,278,786.09,150731.68,AUD,Pending,COD,Logistics,Los Angeles,Approved,Quality inspection required,15073.17,165804.85,Sarah Johnson,Tom Martinez
PO-2026-98118,Component World,2026-01-22,2026-01-27,2026-01-27,36x Desk Chair; 28x SSD Storage; 89x Server RAM; 46x Router; 61x Filing Cabinet,260,232.34,91397.48,AUD,Received,2/10 Net 30,Operations,Los Angeles,Pending,Special packaging needed,9139.75,100537.23,Emily Chen,Alice Brown
PO-2026-88653,Quality Distributors,2026-01-22,2026-02-18,2026-02-18,31x Laptop; 67x Monitor; 50x SSD Storage; 26x Power Supply; 78x Desk Chair,252,713.56,150905.63,CAD,Partial,Net 60,Logistics,Toronto,Approved,,15090.56,165996.19,Sarah Johnson,Alice Brown
PO-2026-81164,Global Supplies Inc,2026-01-22,2026-02-19,2026-02-19,96x Desk Chair; 96x Server RAM,192,202.90,37702.08,CAD,Received,COD,HR,Los Angeles,Pending,Standard delivery,3770.21,41472.29,Robert Wilson,David Lee
PO-2026-40297,Component World,2026-01-22,2026-02-12,2026-02-12,85x Keyboard; 67x Server RAM; 53x Power Supply,205,65.64,76837.42,CAD,Draft,COD,Finance,Los Angeles,Approved,Special packaging needed,7683.74,84521.16,John Smith,David Lee
