PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Payment Terms,Department,Location,Approval Status,Priority,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-89239,Tech Solutions Ltd,2026-01-22,2026-02-21,2026-02-21,56x Monitor; 57x Filing Cabinet,113,702.18,84001.53,GBP,Net 60,Finance,Chicago,Approved,High,,8400.15,92401.68,Sarah Johnson,Tom Martinez
PO-2026-27735,Industrial Parts Group,2026-01-22,2026-02-01,2026-02-01,70x USB Cable; 58x Ink Cartridge; 52x USB Cable,180,523.20,113881.82,EUR,Net 60,Operations,Sydney,Rejected,Low,Quality inspection required,11388.18,125270.00,Robert Wilson,David Lee
PO-2026-39796,Component World,2026-01-22,2026-02-19,2026-02-19,73x Ink Cartridge,73,47.42,3461.66,AUD,2/10 Net 30,Logistics,Los Angeles,Rejected,Medium,Urgent delivery required,346.17,3807.83,Robert Wilson,Jessica White
PO-2026-61019,Office Plus,2026-01-22,2026-02-15,2026-02-15,67x Server RAM; 18x Office Desk,85,936.31,63097.81,CAD,Net 60,Operations,Sydney,Rejected,Low,Urgent delivery required,6309.78,69407.59,John Smith,Jessica White
PO-2026-91755,Global Supplies Inc,2026-01-22,2026-02-21,2026-02-21,24x Router; 37x Router; 44x Monitor; 55x Power Supply,160,524.72,71971.72,CAD,Net 30,IT,Chicago,Approved,High,Special packaging needed,7197.17,79168.89,Mike Davis,Alice Brown
PO-2026-32571,Acme Corp,2026-01-22,2026-02-15,2026-02-15,79x Monitor,79,664.81,52519.99,CAD,Net 30,Finance,Chicago,Approved,High,Urgent delivery required,5252.00,57771.99,Mike Davis,Tom Martinez
PO-2026-61580,Digital Systems,2026-01-22,2026-02-12,2026-02-12,58x Monitor; 22x Ink Cartridge; 21x Ink Cartridge,101,100.37,32038.19,AUD,Due on Receipt,IT,Sydney,Approved,Urgent,Special packaging needed,3203.82,35242.01,Sarah Johnson,Alice Brown
PO-2026-29411,Tech Solutions Ltd,2026-01-22,2026-01-31,2026-01-31,19x Keyboard; 89x Power Supply; 51x Filing Cabinet,159,247.21,136326.74,AUD,Net 60,HR,London,Pending,Low,,13632.67,149959.41,Robert Wilson,David Lee
PO-2026-46898,Premium Materials Co,2026-01-22,2026-02-18,2026-02-18,99x Ink Cartridge; 63x SSD Storage,162,521.57,86977.17,USD,2/10 Net 30,Operations,London,Pending,Urgent,Standard delivery,8697.72,95674.89,Robert Wilson,Alice Brown
PO-2026-25848,Industrial Parts Group,2026-01-22,2026-02-07,2026-02-07,68x Printer Paper; 64x Desk Chair,132,480.46,66432.56,CAD,Net 90,Operations,London,Pending,Low,Quality inspection required,6643.26,73075.82,John Smith,Jessica White
PO-2026-57359,Digital Systems,2026-01-22,2026-02-17,2026-02-17,6x Power Supply; 55x USB Cable; 81x Router,142,189.52,54162.63,EUR,COD,HR,Toronto,Rejected,Urgent,Urgent delivery required,5416.26,59578.89,Robert Wilson,Tom Martinez
PO-2026-97669,Tech Solutions Ltd,2026-01-22,2026-02-04,2026-02-04,25x Power Supply; 5x Filing Cabinet,30,7.41,1371.35,GBP,Net 30,Logistics,New York,Approved,Medium,Standard delivery,137.13,1508.49,Sarah Johnson,Jessica White
PO-2026-73781,Global Supplies Inc,2026-01-22,2026-02-09,2026-02-09,29x USB Cable,29,247.98,7191.42,GBP,Net 60,Logistics,London,Approved,Medium,Quality inspection required,719.14,7910.56,Robert Wilson,Tom Martinez
PO-2026-94139,Acme Corp,2026-01-22,2026-02-05,2026-02-05,42x Router,42,820.03,34441.26,EUR,Due on Receipt,HR,Sydney,Rejected,Medium,Urgent delivery required,3444.13,37885.39,Mike Davis,David Lee
PO-2026-80085,Enterprise Solutions,2026-01-22,2026-02-11,2026-02-11,80x Ink Cartridge; 68x USB Cable,148,846.71,134475.40,EUR,Due on Receipt,Logistics,New York,Rejected,High,Urgent delivery required,13447.54,147922.94,Sarah Johnson,David Lee
PO-2026-36137,Global Supplies Inc,2026-01-22,2026-02-04,2026-02-04,31x SSD Storage; 55x Keyboard; 84x Keyboard,170,126.95,39594.09,GBP,COD,IT,Toronto,Rejected,Low,Quality inspection required,3959.41,43553.50,John Smith,David Lee
PO-2026-96223,Digital Systems,2026-01-22,2026-02-10,2026-02-10,90x SSD Storage,90,563.41,50706.90,AUD,2/10 Net 30,Operations,Sydney,Pending,Medium,Standard delivery,5070.69,55777.59,Sarah Johnson,Jessica White
PO-2026-93376,Acme Corp,2026-01-22,2026-02-06,2026-02-06,40x Ink Cartridge; 1x SSD Storage,41,238.50,9730.18,EUR,COD,Logistics,Sydney,Approved,Low,,973.02,10703.20,Emily Chen,Tom Martinez
PO-2026-34370,Premium Materials Co,2026-01-22,2026-01-30,2026-01-30,30x Router,30,426.10,12783.00,USD,Due on Receipt,Finance,Chicago,Pending,Urgent,Standard delivery,1278.30,14061.30,John Smith,Alice Brown
PO-2026-56240,Premium Materials Co,2026-01-22,2026-02-07,2026-02-07,72x Server RAM; 96x Server RAM; 87x Filing Cabinet; 74x Power Supply,329,367.29,74634.82,CAD,2/10 Net 30,Operations,Sydney,Pending,Low,Urgent delivery required,7463.48,82098.30,Mike Davis,Jessica White
PO-2026-67527,Global Supplies Inc,2026-01-22,2026-02-12,2026-02-12,74x Office Desk,74,357.57,26460.18,CAD,Net 90,IT,London,Pending,Low,,2646.02,29106.20,Mike Davis,Alice Brown
PO-2026-81540,Enterprise Solutions,2026-01-22,2026-01-31,2026-01-31,7x Ink Cartridge; 95x Keyboard; 6x Laptop,108,920.54,27975.54,CAD,COD,Operations,London,Approved,Medium,,2797.55,30773.09,Mike Davis,Alice Brown
PO-2026-38389,Global Supplies Inc,2026-01-22,2026-02-08,2026-02-08,27x Laptop; 89x Power Supply,116,151.38,37873.44,USD,COD,Logistics,New York,Rejected,Medium,Special packaging needed,3787.34,41660.78,John Smith,Jessica White
PO-2026-68043,Industrial Parts Group,2026-01-22,2026-02-09,2026-02-09,29x Power Supply; 26x Power Supply; 11x USB Cable; 86x Monitor,152,238.59,97268.29,GBP,2/10 Net 30,Logistics,New York,Rejected,High,Quality inspection required,9726.83,106995.12,Mike Davis,Lisa Anderson
PO-2026-64645,Quality Distributors,2026-01-22,2026-02-15,2026-02-15,57x USB Cable; 4x Mouse,61,549.61,32975.77,USD,Due on Receipt,Logistics,Los Angeles,Pending,Urgent,Quality inspection required,3297.58,36273.35,Sarah Johnson,Tom Martinez
PO-2026-44365,Premium Materials Co,2026-01-22,2026-02-21,2026-02-21,61x Laptop; 73x Mouse; 64x Ink Cartridge; 44x Office Desk; 99x Power Supply,341,979.60,192629.01,CAD,COD,Finance,New York,Pending,High,Quality inspection required,19262.90,211891.91,Mike Davis,Tom Martinez
PO-2026-20149,Quality Distributors,2026-01-22,2026-02-03,2026-02-03,32x Server RAM; 3x Office Desk; 8x Mouse,43,514.99,26922.56,CAD,Net 60,Operations,Chicago,Rejected,Urgent,,2692.26,29614.82,Mike Davis,Alice Brown
PO-2026-34147,Global Supplies Inc,2026-01-22,2026-02-16,2026-02-16,57x SSD Storage,57,836.40,47674.80,AUD,Due on Receipt,Finance,Toronto,Approved,High,Special packaging needed,4767.48,52442.28,Sarah Johnson,David Lee
PO-2026-20864,Premium Materials Co,2026-01-22,2026-02-04,2026-02-04,23x Printer Paper,23,880.43,20249.89,GBP,Net 30,Finance,London,Approved,Urgent,Urgent delivery required,2024.99,22274.88,Robert Wilson,Tom Martinez
